gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,38,1,1,12-Jan-2014 12:54:14,0
2,48,1,2,12-Jan-2014 12:55:19,0.000752314814814815
3,46,2,1,13-Jan-2014 16:08:37,1.13498842592593
4,50,3,1,18-Jan-2014 11:53:26,5.95777777777778
5,57,3,2,18-Jan-2014 11:54:44,5.95868055555556
6,54,4,1,19-Jan-2014 10:36:30,6.90435185185185
7,56,4,2,19-Jan-2014 10:37:36,6.90511574074074
8,58,4,3,19-Jan-2014 10:38:40,6.90585648148148
9,56,4,4,19-Jan-2014 10:39:47,6.90663194444444
10,56,4,5,19-Jan-2014 10:44:28,6.90988425925926
11,63,4,6,19-Jan-2014 10:45:32,6.910625
12,57,5,1,25-Jan-2014 13:50:03,13.0387615740741
13,61,5,2,25-Jan-2014 13:51:12,13.0395601851852
14,58,5,3,25-Jan-2014 13:52:54,13.0407407407407
15,59,5,4,25-Jan-2014 13:53:58,13.0414814814815
16,60,5,5,25-Jan-2014 13:55:04,13.0422453703704
17,60,5,6,25-Jan-2014 13:56:07,13.042974537037
18,62,5,7,25-Jan-2014 13:58:11,13.0444097222222
19,63,5,8,25-Jan-2014 13:59:21,13.0452199074074
20,63,5,9,25-Jan-2014 14:01:17,13.0465625
21,63,5,10,25-Jan-2014 14:02:21,13.0473032407407
22,56,6,1,30-Mar-2014 08:46:11,76.8277430555556
23,63,6,2,30-Mar-2014 08:47:20,76.8285416666667
24,63,6,3,30-Mar-2014 08:48:26,76.8293055555555
25,63,6,4,30-Mar-2014 08:49:37,76.8301273148148
26,66,6,5,30-Mar-2014 08:50:44,76.8309027777778
27,65,6,6,30-Mar-2014 08:51:52,76.8316898148148
28,66,6,7,30-Mar-2014 08:52:58,76.8324537037037
29,60,7,1,28-Sep-2014 11:08:20,258.926458333333
30,66,7,2,28-Sep-2014 11:09:23,258.9271875
31,65,7,3,28-Sep-2014 11:10:29,258.927951388889
32,56,8,1,12-Jan-2015 21:19:15,365.350706018519
33,62,8,2,12-Jan-2015 21:20:25,365.351516203704
34,59,8,3,12-Jan-2015 21:21:32,365.352291666667
35,59,8,4,12-Jan-2015 21:22:38,365.353055555556
36,62,8,5,12-Jan-2015 21:23:41,365.353784722222
37,60,9,1,24-Jul-2016 08:00:33,923.796053240741
38,61,9,2,24-Jul-2016 08:01:38,923.796805555556
39,63,9,3,24-Jul-2016 08:02:40,923.797523148148
40,61,10,1,24-Jul-2016 09:46:38,923.869722222222
41,64,10,2,24-Jul-2016 09:48:28,923.87099537037
42,63,10,3,24-Jul-2016 09:49:31,923.871724537037
43,61,10,4,24-Jul-2016 09:53:04,923.874189814815
44,65,10,5,24-Jul-2016 09:54:06,923.874907407407
45,61,11,1,27-Jul-2016 21:00:38,927.337777777778
46,67,11,2,27-Jul-2016 21:01:42,927.338518518519
47,65,11,3,27-Jul-2016 21:02:57,927.339386574074
48,67,11,4,27-Jul-2016 21:04:11,927.340243055556
49,62,12,1,04-Aug-2017 07:14:17,1299.76392361111
50,64,12,2,04-Aug-2017 07:15:26,1299.76472222222
