gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,48,1,1,06-Apr-2013 08:47:54,0
2,46,2,1,06-Apr-2013 17:53:24,0.378819444444444
3,46,3,1,06-Apr-2014 20:40:48,365.495069444444
4,43,4,1,17-Jul-2014 19:00:07,467.425150462963
5,47,4,2,17-Jul-2014 19:01:45,467.426284722222
6,48,4,3,17-Jul-2014 19:02:53,467.427071759259
7,50,4,4,17-Jul-2014 19:04:02,467.42787037037
8,51,4,5,17-Jul-2014 19:06:07,467.42931712963
9,49,4,6,17-Jul-2014 19:07:18,467.430138888889
10,51,4,7,17-Jul-2014 19:08:36,467.431041666667
11,48,4,8,17-Jul-2014 19:09:48,467.431875
12,50,4,9,17-Jul-2014 19:10:58,467.432685185185
13,53,4,10,17-Jul-2014 19:12:06,467.433472222222
14,53,5,1,17-Jul-2014 20:21:20,467.481550925926
15,55,5,2,17-Jul-2014 20:22:33,467.482395833333
16,NaN,5,3,17-Jul-2014 20:23:48,467.483263888889
17,55,5,4,17-Jul-2014 20:24:59,467.484085648148
18,52,5,5,17-Jul-2014 20:26:08,467.484884259259
19,53,5,6,17-Jul-2014 20:27:14,467.485648148148
20,54,5,7,17-Jul-2014 20:31:54,467.488888888889
21,55,5,8,17-Jul-2014 20:33:03,467.4896875
22,56,5,9,17-Jul-2014 20:34:08,467.490439814815
23,55,5,10,17-Jul-2014 21:06:38,467.513009259259
24,55,5,11,17-Jul-2014 21:07:45,467.513784722222
25,58,5,12,17-Jul-2014 21:08:55,467.514594907407
26,56,5,13,17-Jul-2014 21:10:02,467.51537037037
27,57,5,14,17-Jul-2014 21:11:10,467.516157407407
28,56,5,15,17-Jul-2014 21:12:29,467.517071759259
29,55,6,1,19-Jul-2014 08:46:14,468.998842592592
30,56,6,2,19-Jul-2014 08:47:21,468.999618055555
31,54,6,3,19-Jul-2014 08:48:29,469.000405092592
32,54,6,4,19-Jul-2014 08:49:37,469.001192129629
33,54,6,5,19-Jul-2014 08:50:45,469.001979166667
34,56,6,6,19-Jul-2014 08:51:50,469.002731481481
35,55,6,7,19-Jul-2014 08:53:07,469.003622685185
36,54,6,8,19-Jul-2014 08:55:18,469.005138888889
37,56,6,9,19-Jul-2014 08:56:26,469.005925925926
38,56,6,10,19-Jul-2014 08:57:34,469.006712962963
39,55,6,11,19-Jul-2014 08:58:41,469.007488425926
40,56,6,12,19-Jul-2014 08:59:46,469.008240740741
41,55,6,13,19-Jul-2014 09:00:49,469.008969907407
42,55,6,14,19-Jul-2014 09:01:55,469.009733796296
43,55,6,15,19-Jul-2014 09:03:03,469.010520833333
44,51,6,16,19-Jul-2014 09:04:07,469.011261574074
45,56,6,17,19-Jul-2014 09:05:12,469.012013888889
46,55,6,18,19-Jul-2014 09:06:23,469.012835648148
47,54,6,19,19-Jul-2014 09:07:29,469.013599537037
48,56,6,20,19-Jul-2014 09:08:35,469.014363425926
49,56,6,21,19-Jul-2014 09:09:42,469.015138888889
50,54,6,22,19-Jul-2014 09:10:48,469.015902777778
51,55,6,23,19-Jul-2014 09:11:53,469.016655092592
52,57,6,24,19-Jul-2014 09:12:59,469.017418981481
53,56,6,25,19-Jul-2014 09:14:45,469.018645833333
54,58,6,26,19-Jul-2014 09:15:56,469.019467592592
55,56,6,27,19-Jul-2014 09:17:01,469.020219907407
56,56,6,28,19-Jul-2014 09:18:07,469.020983796296
57,56,6,29,19-Jul-2014 09:19:13,469.021747685185
58,56,6,30,19-Jul-2014 09:20:17,469.022488425926
59,59,6,31,19-Jul-2014 09:21:23,469.023252314815
60,59,7,1,03-Aug-2014 16:59:05,484.341099537037
61,55,8,1,09-Aug-2014 20:14:08,490.476550925926
62,58,8,2,09-Aug-2014 20:15:20,490.477384259259
63,60,8,3,09-Aug-2014 20:16:29,490.47818287037
64,59,8,4,09-Aug-2014 20:17:41,490.479016203704
65,58,8,5,09-Aug-2014 20:18:51,490.479826388889
66,59,8,6,09-Aug-2014 20:19:59,490.480613425926
67,59,9,1,16-Aug-2014 10:33:06,497.073055555555
68,61,9,2,16-Aug-2014 10:34:29,497.074016203704
69,59,9,3,16-Aug-2014 10:35:41,497.074849537037
70,59,9,4,16-Aug-2014 10:37:00,497.075763888889
71,60,9,5,16-Aug-2014 10:38:12,497.076597222222
72,59,9,6,16-Aug-2014 10:40:09,497.077951388889
73,60,9,7,16-Aug-2014 10:42:10,497.079351851852
74,60,9,8,16-Aug-2014 10:43:22,497.080185185185
75,60,9,9,16-Aug-2014 10:45:21,497.0815625
76,58,10,1,18-Aug-2014 21:29:17,499.528738425926
77,58,10,2,18-Aug-2014 22:03:03,499.5521875
78,57,10,3,18-Aug-2014 22:04:29,499.55318287037
79,58,11,1,21-Aug-2014 20:32:27,502.489270833333
80,58,11,2,21-Aug-2014 21:19:52,502.522199074074
81,62,11,3,21-Aug-2014 21:21:17,502.52318287037
82,61,11,4,21-Aug-2014 21:22:37,502.524108796296
